id,first_name,last_name,passport_id,bank_card_id
1,Vasya,Pupkin,123456789123asdf,1111222233334444
2,Seryoga,Powerful,65s4f65asfd32ad1sf,2222333344445555
3,Zhenyok,Sledgehammer,9as876a5s31afs9,3333444455556666
4,Petruha,Agronomist,987qa6asd3d1afd1,
5,Stepa,Voiced,6d3f56g4gf6s5d4gf56,1111333344446666
6,Dasha,Clever,8s545f1d2d6d5fdf1,0000999988887777
7,Sveta,Cool,f1s3shjk5l2jk41fd2,3333444499998888
8,Mash,Vedvedeva,s56s888i7op7p7d5,
9,It,Terrible,00000000000000000,3847293810293929
10,Captain,Vrungel,9f9u9999u9y6g66f5,1029384756473829
